"Date","Price","Open","High","Low","Vol.","Change %"
"May 03, 2018","7,502.69","7,543.20","7,555.18","7,492.39","745.26M","-0.54%"
"May 02, 2018","7,543.20","7,520.36","7,572.98","7,519.62","855.11M","0.30%"
"May 01, 2018","7,520.36","7,509.30","7,549.07","7,506.57","584.61M","0.15%"
"Apr 30, 2018","7,509.30","7,502.21","7,546.16","7,497.11","1.02B","0.09%"
"Apr 27, 2018","7,502.21","7,421.43","7,507.12","7,421.28","773.11M","1.09%"
"Apr 26, 2018","7,421.43","7,379.32","7,421.43","7,355.00","839.86M","0.57%"
"Apr 25, 2018","7,379.32","7,425.40","7,427.13","7,334.64","906.77M","-0.62%"
"Apr 24, 2018","7,425.40","7,398.87","7,439.58","7,397.29","862.03M","0.36%"
"Apr 23, 2018","7,398.87","7,368.17","7,404.11","7,359.73","799.46M","0.42%"
"Apr 20, 2018","7,368.17","7,328.92","7,368.17","7,323.31","792.27M","0.54%"
"Apr 19, 2018","7,328.92","7,317.34","7,340.73","7,309.42","811.86M","0.16%"
"Apr 18, 2018","7,317.34","7,226.05","7,325.59","7,226.05","904.18M","1.26%"
"Apr 17, 2018","7,226.05","7,198.20","7,240.41","7,189.85","735.88M","0.39%"
"Apr 16, 2018","7,198.20","7,264.56","7,265.83","7,195.46","889.30M","-0.91%"
"Apr 13, 2018","7,264.56","7,258.34","7,274.99","7,249.07","677.12M","0.09%"
"Apr 12, 2018","7,258.34","7,257.14","7,266.64","7,240.76","687.15M","0.02%"
"Apr 11, 2018","7,257.14","7,266.75","7,270.28","7,243.32","789.65M","-0.13%"
"Apr 10, 2018","7,266.75","7,194.75","7,266.75","7,194.75","778.17M","1.00%"
"Apr 09, 2018","7,194.75","7,183.64","7,209.68","7,145.57","691.58M","0.15%"
"Apr 06, 2018","7,183.64","7,199.50","7,214.02","7,163.11","676.29M","-0.22%"
"Apr 05, 2018","7,199.50","7,034.01","7,199.50","7,034.01","819.22M","2.35%"
"Apr 04, 2018","7,034.01","7,030.46","7,046.26","6,971.75","818.65M","0.05%"
"Apr 03, 2018","7,030.46","7,056.61","7,064.98","6,996.76","814.72M","-0.37%"
"Mar 29, 2018","7,056.61","7,044.74","7,109.93","7,042.73","900.25M","0.17%"
"Mar 28, 2018","7,044.74","7,000.14","7,044.74","6,923.33","785.93M","0.64%"
"Mar 27, 2018","7,000.14","6,888.69","7,042.37","6,888.69","712.08M","1.62%"
"Mar 26, 2018","6,888.69","6,921.94","6,958.47","6,866.94","788.73M","-0.48%"
"Mar 23, 2018","6,921.94","6,952.59","6,952.82","6,876.96","906.20M","-0.44%"
"Mar 22, 2018","6,952.59","7,038.97","7,038.97","6,914.45","887.62M","-1.23%"
"Mar 21, 2018","7,038.97","7,061.27","7,065.66","7,016.79","785.55M","-0.32%"
