,MRW,HRGV,GLEN
MRW,0.00020096663355485318,9.503776232268941e-05,9.90882653486606e-05
HRGV,9.503776232268941e-05,0.00036338690347375484,0.0001996953906419255
GLEN,9.90882653486606e-05,0.0001996953906419255,0.00097747250788516
